UNIT,station_name,lat,lng,location_string
R001,SOUTH FERRY,40.703082,-74.012983,"40.703082,-74.012983"
R002,FULTON ST,40.709938,-74.007983,"40.709938,-74.007983"
R003,CYPRESS HILLS,40.689945,-73.872564,"40.689945,-73.872564"
R004,ELDERTS LANE,40.69132,-73.867135,"40.69132,-73.867135"
R005,FOREST PARKWAY,40.692304,-73.860151,"40.692304,-73.860151"
R006,WOODHAVEN BLVD,40.693866,-73.851568,"40.693866,-73.851568"
R007,104 ST,40.695184,-73.844326,"40.695184,-73.844326"
R008,111 ST,40.697405,-73.836354,"40.697405,-73.836354"
R009,121 ST,40.700536,-73.828382,"40.700536,-73.828382"
R010,42 ST-PA BUS TE,40.757303,-73.989787,"40.757303,-73.989787"
R011,42 ST-PA BUS TE,40.757303,-73.989787,"40.757303,-73.989787"
R012,34 ST-PENN STA,40.752247,-73.993456,"40.752247,-73.993456"
R013,34 ST-PENN STA,40.752247,-73.993456,"40.752247,-73.993456"
R014,FULTON ST,40.709938,-74.007983,"40.709938,-74.007983"
R015,5 AVE-53 ST,40.760179,-73.975196,"40.760179,-73.975196"
R016,LEXINGTON-53 ST,40.75753,-73.969102,"40.75753,-73.969102"
R017,LEXINGTON-53 ST,40.75753,-73.969102,"40.75753,-73.969102"
R018,74 ST-BROADWAY,40.746655,-73.891361,"40.746655,-73.891361"
R019,JAMAICA-179 ST,40.712622,-73.783815,"40.712622,-73.783815"
R020,47-50 ST-ROCK,40.758652,-73.981311,"40.758652,-73.981311"
R021,42 ST-BRYANT PK,40.754198,-73.984573,"40.754198,-73.984573"
R022,34 ST-HERALD SQ,40.749533,-73.987899,"40.749533,-73.987899"
R023,34 ST-HERALD SQ,40.749533,-73.987899,"40.749533,-73.987899"
R024,SUTPHIN BLVD,40.700488,-73.807933,"40.700488,-73.807933"
R025,JAMAICA CENTER,40.702131,-73.80111,"40.702131,-73.80111"
R027,WALL ST,40.706864,-74.009056,"40.706864,-74.009056"
R028,FULTON ST,40.709938,-74.007983,"40.709938,-74.007983"
R029,CHAMBERS ST,40.71433,-74.008563,"40.71433,-74.008563"
R030,CHAMBERS ST,40.715436,-74.009335,"40.715436,-74.009335"
R031,34 ST-PENN STA,40.750329,-73.991096,"40.750329,-73.991096"
R032,42 ST-TIMES SQ,40.755905,-73.986504,"40.755905,-73.986504"
R033,42 ST-TIMES SQ,40.755905,-73.986504,"40.755905,-73.986504"
R034,125 ST,40.815596,-73.958395,"40.815596,-73.958395"
R035,168 ST-BROADWAY,40.840778,-73.940091,"40.840778,-73.940091"
R036,DYCKMAN ST,40.860523,-73.925575,"40.860523,-73.925575"
R037,207 ST,40.864653,-73.918719,"40.864653,-73.918719"
R038,215 ST,40.869359,-73.915329,"40.869359,-73.915329"
R039,MARBLE HILL-225,40.874551,-73.909879,"40.874551,-73.909879"
R040,231 ST,40.878867,-73.904858,"40.878867,-73.904858"
R041,BOWLING GREEN,40.704782,-74.014099,"40.704782,-74.014099"
R042,BOWLING GREEN,40.704782,-74.014099,"40.704782,-74.014099"
R043,WALL ST,40.707466,-74.011867,"40.707466,-74.011867"
R044,BROOKLYN BRIDGE,40.713159,-74.003917,"40.713159,-74.003917"
R045,42 ST-GRD CNTRL,40.751849,-73.976945,"40.751849,-73.976945"
R046,42 ST-GRD CNTRL,40.751849,-73.976945,"40.751849,-73.976945"
R047,42 ST-GRD CNTRL,40.751849,-73.976945,"40.751849,-73.976945"
R048,42 ST-GRD CNTRL,40.751849,-73.976945,"40.751849,-73.976945"
R049,51 ST,40.757108,-73.97187,"40.757108,-73.97187"
R050,59 ST,40.762796,-73.967686,"40.762796,-73.967686"
R051,59 ST,40.762796,-73.967686,"40.762796,-73.967686"
R052,WOODLAWN ROAD,40.885973,-73.878851,"40.885973,-73.878851"
R053,149 ST-3 AVE,40.816132,-73.917754,"40.816132,-73.917754"
R054,5 AVE-BRYANT PK,40.753824,-73.981966,"40.753824,-73.981966"
R055,MAIN ST,40.759578,-73.830056,"40.759578,-73.830056"
R056,NEVINS ST,40.688269,-73.980453,"40.688269,-73.980453"
R057,ATLANTIC AVE,40.684063,-73.977417,"40.684063,-73.977417"
R058,BERGEN ST,40.680801,-73.975132,"40.680801,-73.975132"
R059,GRAND ARMY PLAZ,40.675219,-73.971012,"40.675219,-73.971012"
R060,EASTERN PKWY,40.672013,-73.96436,"40.672013,-73.96436"
R061,NOSTRAND AVE,40.669735,-73.950455,"40.669735,-73.950455"
R062,CROWN HTS-UTICA,40.669279,-73.932967,"40.669279,-73.932967"
R063,SUTTER AVE,40.664591,-73.922668,"40.664591,-73.922668"
R064,SARATOGA AVE,40.661466,-73.916316,"40.661466,-73.916316"
R065,ROCKAWAY AVE,40.662541,-73.908763,"40.662541,-73.908763"
R066,JUNIUS ST,40.663419,-73.902454,"40.663419,-73.902454"
R067,PENNSYLVANIA AV,40.664884,-73.894258,"40.664884,-73.894258"
R068,VAN SICLEN AVE,40.665405,-73.889451,"40.665405,-73.889451"
R069,NEW LOTS AVE,40.666252,-73.884087,"40.666252,-73.884087"
R070,ST. GEORGE,40.643738,-74.073622,"40.643738,-74.073622"
R076,2 BDWY CUST SRV,40.704591,-74.013273,"40.704591,-74.013273"
R079,5 AVE-59 ST,40.764909,-73.973372,"40.764909,-73.973372"
R080,57 ST-7 AVE,40.764755,-73.980646,"40.764755,-73.980646"
R081,49 ST-7 AVE,40.760139,-73.984112,"40.760139,-73.984112"
R082,28 ST-BROADWAY,40.745574,-73.988682,"40.745574,-73.988682"
R083,23 ST-5 AVE,40.741006,-73.989315,"40.741006,-73.989315"
R084,59 ST-COLUMBUS,40.76811,-73.981891,"40.76811,-73.981891"
R085,8 ST-B'WAY NYU,40.730348,-73.992705,"40.730348,-73.992705"
R086,PRINCE ST-B'WAY,40.724332,-73.997684,"40.724332,-73.997684"
R087,MURRAY ST-B'WAY,40.713086,-74.007232,"40.713086,-74.007232"
R088,CORTLANDT ST,40.710662,-74.011052,"40.710662,-74.011052"
R089,JAY ST-METROTEC,40.692182,-73.985935,"40.692182,-73.985935"
R090,BEEBE-39 AVE,40.753076,-73.93271,"40.753076,-73.93271"
R091,WASHINGTON-36 A,40.756977,-73.929373,"40.756977,-73.929373"
R092,BROADWAY-31 ST,40.761959,-73.925382,"40.761959,-73.925382"
R093,GRAND-30 AVE,40.766843,-73.921423,"40.766843,-73.921423"
R094,HOYT ST-ASTORIA,40.770426,-73.917614,"40.770426,-73.917614"
R095,DITMARS BL-31 S,40.774984,-73.912067,"40.774984,-73.912067"
R096,82 ST-JACKSON H,40.747647,-73.883786,"40.747647,-73.883786"
R097,JUNCTION BLVD,40.749143,-73.869452,"40.749143,-73.869452"
R098,CHURCH AVE,40.650494,-73.962836,"40.650494,-73.962836"
R098,CHURCH AVE,40.650494,-73.962836,"40.650494,-73.962836"
R099,DEKALB AVE,40.690612,-73.981848,"40.690612,-73.981848"
R100,METROPOLITAN AV,40.711353,-73.88958,"40.711353,-73.88958"
R101,145 ST,40.824787,-73.944232,"40.824787,-73.944232"
R102,125 ST,40.811056,-73.952386,"40.811056,-73.952386"
R103,BROADWAY-ENY,40.678848,-73.904139,"40.678848,-73.904139"
R104,167 ST,40.833773,-73.91843,"40.833773,-73.91843"
R105,14 ST,40.738007,-73.998381,"40.738007,-73.998381"
R106,CASTLE HILL AVE,40.834255,-73.851222,"40.834255,-73.851222"
R107,WESTCHESTER SQ,40.839892,-73.842952,"40.839892,-73.842952"
R108,BOROUGH HALL/CT,40.692404,-73.990151,"40.692404,-73.990151"
R109,CHURCH AVE,40.650843,-73.949575,"40.650843,-73.949575"
R110,FLATBUSH AVE,40.632836,-73.947642,"40.632836,-73.947642"
R111,23 ST,40.745924,-73.998005,"40.745924,-73.998005"
R112,FORDHAM ROAD,40.862803,-73.901034,"40.862803,-73.901034"
R113,7 AVE-53 ST,40.762877,-73.98159,"40.762877,-73.98159"
R114,PARSONS BLVD,40.707564,-73.803326,"40.707564,-73.803326"
R115,169 ST,40.710459,-73.7936,"40.710459,-73.7936"
R116,50 ST,40.761675,-73.983908,"40.761675,-73.983908"
R117,242 ST,40.889185,-73.898549,"40.889185,-73.898549"
R118,CANAL ST,40.718233,-74.000323,"40.718233,-74.000323"
R119,FORDHAM ROAD,40.862941,-73.901199,"40.862941,-73.901199"
R120,MORRISON AVE,40.829495,-73.874559,"40.829495,-73.874559"
R121,QUEENSBORO PLZ,40.750508,-73.940177,"40.750508,-73.940177"
R122,90 ST-ELMHURST,40.748541,-73.876791,"40.748541,-73.876791"
R123,FRANKLIN AVE,40.670711,-73.958051,"40.670711,-73.958051"
R124,KINGSTON AVE,40.669409,-73.942173,"40.669409,-73.942173"
R125,BROAD ST,40.706539,-74.011052,"40.706539,-74.011052"
